model_type,mae,rmse,smape,r2,epochs_ran,train_seconds
lstm,429.2064514160156,524.4311799464253,23.4393367767334,0.36896657943725586,7,272.1316351890564
cnn_lstm,403.9454345703125,510.70092764748335,23.005373001098633,0.4015764594078064,7,283.57406210899353
