forecast_horizon,MAE,RMSE,SMAPE,R2
1,213.43202884121024,385.30315666299265,15.168157088532002,0.8926274711161316
2,214.95125420809904,387.01163423112433,15.322545351093664,0.891681458672964
3,215.8618316000078,388.54338054412983,15.446147198608848,0.8908446617314767
4,471.96418846543315,620.9757518617786,46.59947325040459,0.7212498098209758
5,471.44891653888135,620.4396195270224,46.57788810436576,0.7218195593522376
6,472.6495642203472,621.3754895022945,46.68176866187064,0.7211007236472111
7,474.21269878711576,622.898148121956,46.81980230001166,0.7198509126823012
8,473.5133435006301,622.3617707406974,46.77980833680501,0.720417118205198
9,473.4971296732235,622.2854350975433,46.79041168946664,0.7205190713136997
10,474.23240969903475,622.9624437678431,46.85588253065372,0.7199119124140874
11,476.14695956692117,624.5955594590847,46.99537122299941,0.7184544194291078
12,476.6781989541721,625.2776279263483,47.03317745052601,0.7178529786878967
